state,district,flood_date,flood_cause,river_basin,latitude,longitude,source
Kedah,Bandar Baharu,2026-05-08,Air Sungai Melimpah,Sungai Kerian (KRANTP0059 - Kg. Bukit Buluh); Sungai Kerian (KRANTP0060 - Kg. Sg. Punti); Sungai Kerian (DGNTP00002 - Kg. Charok Meranti); Sungai Kerian (Kg. Sg. Tengas Hilir); Sungai Kerian (DGNTP00002 - Kg. Charok Meranti); Sungai Kerian (Kg Sg Itam Dalam),5.207200,100.616525,JPS/DID
Negeri Sembilan,Seremban,2026-05-08,Saliran Dalaman,Sungai Linggi (BPNRTP0004 - Pekan Pantai),2.755985,101.908985,JPS/DID
Melaka,Alor Gajah,2026-05-08,Air Sungai Melimpah,Sungai Melaka (Tebong Stesyen); Sungai Melaka (DRTGTP0006 - Kg. Bukit Tambun); Sungai Melaka (MLKTP00168 - Kg. Bukit Balai); Sungai Melaka (MLKATP0005 - Kg. Pulau),2.383510,102.106500,JPS/DID
Sabah,Kota Kinabalu,2026-05-08,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Inanam (Kg Muhibbah),5.999865,116.104395,JPS/DID
Negeri Sembilan,Jelebu,2026-05-08,Air Sungai Melimpah,Sungai Pahang (KNBOTP0003 - Kg. Chennah),3.059975,102.134185,JPS/DID
Kedah,Kubang Pasu,2026-05-07,Air Sungai Melimpah,Sungai Kedah (KDHTP00335 - Kg. Tok Jalai),6.362560,100.399740,JPS/DID
Kedah,Kota Setar,2026-05-07,Saliran Dalaman,Sungai Kedah (KDHTP01315 - SK Bukit Pinang); Sungai Kedah (Jalan Kampung Baru Bukit Pinang),6.101370,100.366610,JPS/DID
Sarawak,Kabong,2026-05-07,Saliran Dalaman,Batang Kerian (Kg.Hulu); Batang Kerian (Kg.Baru),1.875910,111.260235,JPS/DID
Selangor,Petaling,2026-05-06,Air Sungai Melimpah,Sungai Klang (PCHLTP0001 - Jalan 222 & Jalan 51A/221),3.104900,101.579100,JPS/DID
Negeri Sembilan,Seremban,2026-05-04,Air Sungai Melimpah,Sungai Linggi (NKARTP0001 - Kg. Gadong Jaya),2.755985,101.908985,JPS/DID
Melaka,Jasin,2026-04-29,Air Sungai Melimpah,Sungai Duyong (GAPMTP0001 - Kg. Gapam),2.293300,102.452615,JPS/DID
Melaka,Melaka Tengah,2026-04-27,"Longkang Tersumbat, Saliran Dalaman",Sungai Melaka (MLKTP00172 - Kg. Tanah Merah); Sungai Melaka (MLKATP0035 - Taman Merdeka/Taman Angkasa Nuri),2.192180,102.243470,JPS/DID
Pahang,Bentong,2026-04-25,"Air Sungai Melimpah, Lain-lain, Pembangunan / Pembukaan Tanah / Sampah Sarap",Sungai Pahang (BTNGTP0107 - Kg. Gementi & Kg. Ketari),3.416345,102.050275,JPS/DID
Perak,Batang Padang,2026-04-23,Air Sungai Melimpah,Sungai Perak (BDRTP0004 - Kg. Bikam),4.118290,101.290910,JPS/DID
Sarawak,Lundu,2026-04-21,Air Sungai Melimpah,Sungai Sematan (Jalan Kg. Temaga Dayak),1.749525,109.864880,JPS/DID
Pahang,Bera,2026-04-20,"Longkang Tersumbat, Saliran Dalaman",Sungai Pahang (TRNGTP0125 - Kg. Paya Tateh),3.136035,102.538165,JPS/DID
Pahang,Cameron Highlands,2026-04-20,"Air Sungai Melimpah, Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman",Sungai Pahang (HABU HEIGHT); Sungai Pahang (BRTMTP0012 - SMK Ringlet),4.468675,101.469035,JPS/DID
WP Kuala Lumpur,WP Kuala Lumpur,2026-04-19,"Air Sungai Melimpah, Saliran Dalaman",,3.142075,101.686095,JPS/DID
Selangor,Petaling,2026-04-18,"Air Sungai Melimpah, Saliran Dalaman",Sungai Klang (KYARTP0002 - Kg. Cempaka (Sg. Kayu Ara)),3.104900,101.579100,JPS/DID
Johor,Johor Bahru,2026-04-18,"Longkang Tersumbat, Saliran Dalaman",Sungai Tebrau (TBRATP0004 - Kg. Kangkar Tebrau); Sungai Tebrau (Kampung Ubi); Sungai Tebrau (Kg Ulu Pandan); Sungai Tebrau (TBRATP0010 - Kg. Bunga Ros); Sungai Tebrau (TBRATP0003 - Kg. Paya Kenangan),1.480505,103.782305,JPS/DID
Selangor,Hulu Langat,2026-04-14,Saliran Dalaman,Sungai Langat (REKOTP0001 - Klinik Kesihatan Kajang); Sungai Langat (LGATTP0022 - Kg. Pasir),3.074900,101.845620,JPS/DID
Kedah,Baling,2026-04-09,Air Sungai Melimpah,Sungai Muda (KG BENDANG PECAH); Sungai Muda (KG SEDIM),5.723155,100.862395,JPS/DID
